"","X","Latitude","Longitude","Elevation","BackgroundSpecies","Family","Genus","Species","Sub.species","VernacularNames","Length","GenusSpecies","fileCount"
"286",3720,"-10.7501","-56.7501","310","","Pipridae","Chiroxiphia","pareola","pareola?","Blue-backed Manakin",26.557778,"Chiroxiphia pareola",14
"287",3746,"-24.017146","-47.81044","650","Myiodynastes maculatus","Tyrannidae","Myiornis","auricularis","auricularis","Eared Pygmy Tyrant",27.303424,"Myiornis auricularis",15
"288",3748,"-25.425","-48.917","450","","Cardinalidae","Habia","rubica","","Red-crowned Ant Tanager",36.838571,"Habia rubica",14
"289",3752,"-9.732","-37.435","100","","Cuculidae","Crotophaga","ani","","Smooth-billed Ani",23.845351,"Crotophaga ani",14
"290",3759,"NULL","NULL","?","","Psittacidae","Diopsittaca","nobilis","","Red-shouldered Macaw",30.448277,"Diopsittaca nobilis",10
"291",3772,"-22.3001","-43.6667","?","","Tyrannidae","Platyrinchus","mystaceus","","White-throated Spadebill",26.077823,"Platyrinchus mystaceus",13
"292",3774,"-24.017146","-47.81044","630","","Thamnophilidae","Myrmeciza","squamosa","","Squamate Antbird",20.62839,"Myrmeciza squamosa",14
"293",3781,"-12.5834","-41.3667","400","","Tyrannidae","Myiodynastes","maculatus","solitarius","Streaked Flycatcher",41.530181,"Myiodynastes maculatus",14
"294",3782,"-22.4334","-44.6334","950","Empidonomus varius,Todirostrum poliocephalum,Baryphthengus ruficapillus,Attila rufus","Tyrannidae","Megarynchus","pitangua","","Boat-billed Flycatcher",42.531678,"Megarynchus pitangua",11
"295",3789,"NULL","NULL","400","","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",16.896667,"Rhopias gularis",14
"296",3791,"-4.3881","-59.5934","70","Hypocnemis striata","Thamnophilidae","Thamnomanes","caesius","persimilis","Cinereous Antshrike",16.170907,"Thamnomanes caesius",12
"297",3796,"-23.418","-46.789","760","Lochmias nematura,Basileuterus culicivorus","Tyrannidae","Tolmomyias","sulphurescens","","Yellow-olive Flatbill",22.461859,"Tolmomyias sulphurescens",14
"298",3803,"-24.017146","-47.81044","630","Turdus rufiventris","Icteridae","Cacicus","haemorrhous","","Red-rumped Cacique",16.643469,"Cacicus haemorrhous",20
"299",3818,"-16.7581","-56.8764","110","","Picidae","Melanerpes","candidus","","White Woodpecker",29.01619,"Melanerpes candidus",10
"300",3827,"-22.5001","-42.7167","?","","Troglodytidae","Cantorchilus","longirostris","","Long-billed Wren",25.087188,"Cantorchilus longirostris",10
"301",3836,"-1.8097","-59.6667","40","","Turdidae","Turdus","albicollis","","White-necked Thrush",17.880839,"Turdus albicollis",10
"302",3839,"-22.3023","-43.077","1100","Tangara cayana","Furnariidae","Campylorhamphus","falcularius","","Black-billed Scythebill",24.014558,"Campylorhamphus falcularius",10
"303",3848,"-8.6114","-35.0392","0","","Cuculidae","Guira","guira","","Guira Cuckoo",40.788639,"Guira guira",10
"304",3850,"-23.5834","-51.4345","500","","Psittacidae","Psittacara","leucophthalmus","","White-eyed Parakeet",18.596803,"Psittacara leucophthalmus",12
"305",3861,"-23.2001","-46.5834","900","Tolmomyias sulphurescens,Herpsilochmus rufimarginatus","Falconidae","Micrastur","ruficollis","","Barred Forest Falcon",20.813832,"Micrastur ruficollis",12
"306",3890,"1.4829","-60.9891","90","","Tyrannidae","Platyrinchus","platyrhynchos","","White-crested Spadebill",37.07381,"Platyrinchus platyrhynchos",10
"307",3907,"-4.388175","-59.593406","30","","Falconidae","Ibycter","americanus","","Red-throated Caracara",22.221224,"Ibycter americanus",14
"308",3927,"-3.4834","-54.9167","170","Saltator grossus,Myrmotherula brachyura,Tolmomyias poliocephalus","Thamnophilidae","Microrhopias","quixensis","emiliae","Dot-winged Antwren",27.748662,"Microrhopias quixensis",11
"309",3928,"-23.5001","-45.2167","40","","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",40.294694,"Rhopias gularis",14
"310",3934,"-16.512178","-56.712627","?","","Psittacidae","Anodorhynchus","hyacinthinus","","Hyacinth Macaw",39.514195,"Anodorhynchus hyacinthinus",11
"311",3966,"-22.5001","-42.7167","500","Habia rubica","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",28.765692,"Rhopias gularis",14
"312",3970,"NULL","NULL","900","","Turdidae","Turdus","leucomelas","","Pale-breasted Thrush",23.318821,"Turdus leucomelas",18
"313",3974,"-31.7184","-52.3276","0","Piaya cayana","Tyrannidae","Myiodynastes","maculatus","","Streaked Flycatcher",37.676984,"Myiodynastes maculatus",14
"314",3981,"-9.3001","-35.9334","550","Phaethornis ruber,Dixiphia rubrocapilla","Pipridae","Chiroxiphia","pareola","pareola","Blue-backed Manakin",20.730431,"Chiroxiphia pareola",14
"315",3984,"-4.388175","-59.593406","?","","Thamnophilidae","Hypocnemis","striata","implicata","Spix's Warbling Antbird",25.030635,"Hypocnemis striata",11
"316",3995,"-23.955667","-46.650334","?","","Conopophagidae","Conopophaga","lineata","","Rufous Gnateater",23.045079,"Conopophaga lineata",17
"317",4006,"-22.5001","-42.7167","300","","Furnariidae","Sclerurus","scansor","","Rufous-breasted Leaftosser",24.410567,"Sclerurus scansor",16
"318",4011,"-2.0375","-54.1131","100","Ortalis motmot,Campephilus melanoleucos","Icteridae","Cacicus","cela","","Yellow-rumped Cacique",36.706644,"Cacicus cela",11
"319",4028,"-9.5981","-55.932","250","","Thamnophilidae","Thamnomanes","caesius","","Cinereous Antshrike",17.736599,"Thamnomanes caesius",12
"320",4053,"-23.5797","-45.5474","800","","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",15.923515,"Rhopias gularis",14
"321",4063,"-8.72667","-35.79333","700","Vireo olivaceus,Sporophila nigricollis","Thamnophilidae","Formicivora","grisea","grisea","Southern White-fringed Antwren",16.090522,"Formicivora grisea",10
"322",4065,"-23.5001","-45.2167","30","Pachyramphus marginatus,Ramphocelus bresilius","Tyrannidae","Attila","rufus","rufus","Grey-hooded Attila",17.991905,"Attila rufus",14
"323",4068,"-22.7876","-45.6842","1000","","Tyrannidae","Myiornis","auricularis","","Eared Pygmy Tyrant",17.55873,"Myiornis auricularis",15
"324",4069,"-22.7787","-43.462","250","Setophaga pitiayumi","Tyrannidae","Myiornis","auricularis","","Eared Pygmy Tyrant",37.330703,"Myiornis auricularis",15
"325",4095,"-9.5981","-55.932","200","","Pipridae","Chiroxiphia","pareola","pareola","Blue-backed Manakin",17.50941,"Chiroxiphia pareola",14
"326",4097,"-7.955","-48.301","250","","Psittacidae","Ara","ararauna","","Blue-and-yellow Macaw",33.311088,"Ara ararauna",13
"327",4105,"NULL","NULL","39","","Thamnophilidae","Pyriglena","leuconota","pernambucensis","White-backed Fire-eye",21.941338,"Pyriglena leuconota",12
"328",4111,"4.2417","-58.9028","?","","Threskiornithidae","Theristicus","caudatus","","Buff-necked Ibis",27.996054,"Theristicus caudatus",17
"329",4114,"-0.95","-48.746","3","Patagioenas cayennensis,Elaenia chiriquensis,Tyrannus savana","Threskiornithidae","Theristicus","caudatus","caudatus","Buff-necked Ibis",30.941859,"Theristicus caudatus",17
"330",4115,"-10.7427","-68.2818","220","Aratinga weddellii,Ara severus","Psittacidae","Amazona","ochrocephala","","Yellow-crowned Amazon",21.036395,"Amazona ochrocephala",19
"331",4119,"NULL","NULL","800","","Psittacidae","Forpus","xanthopterygius","","Blue-winged Parrotlet",21.286712,"Forpus xanthopterygius",11
"332",4124,"-12.5167","-41.4334","750","","Tyrannidae","Megarynchus","pitangua","pitangua","Boat-billed Flycatcher",18.55263,"Megarynchus pitangua",11
"333",4135,"-27.157","-52.863","350","","Tyrannidae","Elaenia","spectabilis","","Large Elaenia",23.68127,"Elaenia spectabilis",14
"334",4140,"-9.3001","-35.9334","550","Troglodytes aedon","Psittacidae","Diopsittaca","nobilis","cumanensis","Red-shouldered Macaw",30.67068,"Diopsittaca nobilis",10
"335",4142,"-3.4915","-59.9304","20","","Psittacidae","Amazona","farinosa","","Mealy Amazon",22.84,"Amazona farinosa",16
"336",4144,"NULL","NULL","80","","Psittacidae","Brotogeris","tirica","","Plain Parakeet",21.66195,"Brotogeris tirica",15
"337",4147,"-27.39726","-49.379082","450","","Tyrannidae","Myiopagis","caniceps","","Grey Elaenia",18.606984,"Myiopagis caniceps",11
"338",4158,"-23.2119","-45.9613","550","","Psittacidae","Psittacara","leucophthalmus","","White-eyed Parakeet",20.051088,"Psittacara leucophthalmus",12
"339",4182,"-12.5834","-41.3667","400","","Conopophagidae","Conopophaga","lineata","lineata","Rufous Gnateater",18.809977,"Conopophaga lineata",17
"340",4239,"-9.2667","-49.9334","170","Sakesphorus luctuosus,Philohydor lictor,Oryzoborus angolensis","Psittacidae","Brotogeris","chiriri","chiriri","Yellow-chevroned Parakeet",17.629501,"Brotogeris chiriri",11
"341",4257,"-22.4508","-42.7735","30","Pitangus sulphuratus,Vanellus chilensis,Elaenia flavogaster","Tyrannidae","Myiozetetes","similis","","Social Flycatcher",29.793787,"Myiozetetes similis",18
"342",4260,"-3.4915","-59.9304","20","","Tyrannidae","Hemitriccus","griseipectus","","White-bellied Tody-Tyrant",20.19161,"Hemitriccus griseipectus",10
"343",4263,"-4.2334","-38.9167","1050","Thamnophilus caerulescens,Myiozetetes similis","Tyrannidae","Elaenia","spectabilis","","Large Elaenia",20.301156,"Elaenia spectabilis",14
"344",4265,"-31.4217","-52.1784","100","","Conopophagidae","Conopophaga","lineata","","Rufous Gnateater",18.205896,"Conopophaga lineata",17
"345",4267,"-0.1334","-67.0834","70","Hypocnemoides melanopogon,Cyanocompsa cyanoides","Furnariidae","Xiphorhynchus","guttatus","guttatoides","Buff-throated Woodcreeper",23.703991,"Xiphorhynchus guttatus",11
"346",4270,"-23.7134","-45.8764","8","","Furnariidae","Philydor","atricapillus","","Black-capped Foliage-gleaner",28.563855,"Philydor atricapillus",11
"347",4286,"-25.6084","-54.4326","200","Herpsilochmus rufimarginatus,Cnemotriccus fuscatus,Piprites chloris","Tyrannidae","Myiopagis","caniceps","caniceps","Grey Elaenia",26.762676,"Myiopagis caniceps",11
"348",4306,"-23.270681","-47.298889","600","","Psittacidae","Psittacara","leucophthalmus","","White-eyed Parakeet",18.046508,"Psittacara leucophthalmus",12
"349",4334,"-22.4508","-42.7735","30","Thamnophilus palliatus,Mimus saturninus","Icteridae","Cacicus","haemorrhous","","Red-rumped Cacique",31.445215,"Cacicus haemorrhous",20
"350",4338,"-4.5778","-56.3338","70","","Psittacidae","Amazona","ochrocephala","","Yellow-crowned Amazon",15.869683,"Amazona ochrocephala",19
"351",4349,"-23.8501","-54.2537","340","Pitangus sulphuratus,Taraba major","Tyrannidae","Elaenia","spectabilis","","Large Elaenia",15.221497,"Elaenia spectabilis",14
"352",4355,"-23.9165","-52.7425","500","","Cuculidae","Crotophaga","ani","","Smooth-billed Ani",35.304036,"Crotophaga ani",14
"353",4372,"-0.1334","-67.0834","70","Ornithion inerme","Tyrannidae","Lophotriccus","galeatus","","Helmeted Pygmy Tyrant",33.332063,"Lophotriccus galeatus",11
"354",4391,"-5.8483","-55.8298","180","","Thamnophilidae","Thamnomanes","caesius","","Cinereous Antshrike",17.384444,"Thamnomanes caesius",12
"355",4418,"-22.5001","-42.7167","?","Procnias nudicollis,Chiroxiphia caudata","Furnariidae","Campylorhamphus","falcularius","","Black-billed Scythebill",21.109025,"Campylorhamphus falcularius",10
"356",4442,"-22.9567","-43.2806","700","Leptotila rufaxilla","Thamnophilidae","Dysithamnus","mentalis","","Plain Antvireo",35.02771,"Dysithamnus mentalis",25
"357",4460,"-24.017146","-47.81044","630","","Parulidae","Basileuterus","culicivorus","","Golden-crowned Warbler",23.546259,"Basileuterus culicivorus",14
"358",4463,"-1.0054","-46.8002","10","Volatinia jacarina,Ramphocelus carbo","Psittacidae","Orthopsittaca","manilatus","","Red-bellied Macaw",22.412086,"Orthopsittaca manilatus",13
"359",4490,"-28.7101","-49.362","50","","Turdidae","Turdus","albicollis","","White-necked Thrush",15.733605,"Turdus albicollis",10
"360",4503,"-8.2834","-35.5834","700","Thamnophilus caerulescens,Xenops minutus","Thamnophilidae","Dysithamnus","mentalis","","Plain Antvireo",33.39585,"Dysithamnus mentalis",25
"361",4519,"-14.3834","-40.1001","850","","Tyrannidae","Attila","rufus","","Grey-hooded Attila",21.136327,"Attila rufus",14
"362",4527,"-26.0834","-48.6334","5","Procnias nudicollis","Furnariidae","Cichlocolaptes","leucophrus","holti","Pale-browed Treehunter",15.760748,"Cichlocolaptes leucophrus",14
"363",4529,"-23.8501","-54.2537","340","Taraba major,Synallaxis frontalis,Turdus leucomelas,Vireo olivaceus","Cuculidae","Crotophaga","major","","Greater Ani",19.938458,"Crotophaga major",10
"364",4536,"-9.5981","-55.932","250","","Thamnophilidae","Thamnomanes","caesius","","Cinereous Antshrike",37.880272,"Thamnomanes caesius",12
"365",4556,"-23.3309","-45.1566","1000","Chiroxiphia caudata","Tyrannidae","Platyrinchus","mystaceus","","White-throated Spadebill",26.683311,"Platyrinchus mystaceus",13
"366",4560,"-22.4508","-42.7735","30","Leptotila rufaxilla","Cuculidae","Crotophaga","major","","Greater Ani",25.290045,"Crotophaga major",10
"367",4565,"-22.38","-44.63","800","","Tyrannidae","Hirundinea","ferruginea","","Cliff Flycatcher",15.502472,"Hirundinea ferruginea",12
"368",4572,"-6.1603","-50.3459","700","","Thamnophilidae","Hypocnemis","striata","affinis","Spix's Warbling Antbird",16.488095,"Hypocnemis striata",11
"369",4582,"-24.017146","-47.81044","630","","Thamnophilidae","Pyriglena","leucoptera","","White-shouldered Fire-eye",25.741066,"Pyriglena leucoptera",12
"370",4590,"-27.234","-52.588","500","Synallaxis cinerascens","Parulidae","Myiothlypis","leucoblephara","","White-rimmed Warbler",15.946122,"Myiothlypis leucoblephara",14
"371",4591,"-22.342455","-42.760506","?","Chiroxiphia caudata","Icteridae","Cacicus","haemorrhous","","Red-rumped Cacique",38.536054,"Cacicus haemorrhous",20
"372",4610,"-9.5981","-55.932","250","","Falconidae","Ibycter","americanus","","Red-throated Caracara",43.175646,"Ibycter americanus",14
"373",4622,"-26.3247","-53.2885","850","","Tyrannidae","Camptostoma","obsoletum","","Southern Beardless Tyrannulet",17.790317,"Camptostoma obsoletum",18
"374",4645,"-9.5981","-55.932","200","Dixiphia rubrocapilla","Tyrannidae","Hemitriccus","griseipectus","griseipectus","White-bellied Tody-Tyrant",29.511995,"Hemitriccus griseipectus",10
"375",4655,"-14.3834","-40.1001","825","Dysithamnus stictothorax,Drymophila squamata,Conopophaga lineata,Eleoscytalopus indigoticus,Formicarius colma,Sirystes sibilator","Thamnophilidae","Pyriglena","leucoptera","","White-shouldered Fire-eye",16.509887,"Pyriglena leucoptera",12
"376",4680,"-23.6334","-45.8667","?","","Furnariidae","Sclerurus","scansor","","Rufous-breasted Leaftosser",19.335238,"Sclerurus scansor",16
"377",4703,"-20.0834","-55.9501","128","Campylorhynchus turdinus","Psittacidae","Anodorhynchus","hyacinthinus","","Hyacinth Macaw",32.199864,"Anodorhynchus hyacinthinus",11
"378",4723,"-9.9826","-50.0151","180","","Cuculidae","Guira","guira","","Guira Cuckoo",25.632653,"Guira guira",10
"379",4728,"-10.017877","-39.16179","?","","Psittacidae","Forpus","xanthopterygius","","Blue-winged Parrotlet",30.594807,"Forpus xanthopterygius",11
"380",4730,"-2.028","-59.997","50","","Tyrannidae","Myiopagis","caniceps","","Grey Elaenia",24.417211,"Myiopagis caniceps",11
"381",4769,"-8.8173","-35.4773","80","","Conopophagidae","Conopophaga","melanops","","Black-cheeked Gnateater",25.848707,"Conopophaga melanops",15
"382",4778,"-22.4759","-42.9898","600","","Conopophagidae","Conopophaga","lineata","","Rufous Gnateater",22.41449,"Conopophaga lineata",17
"383",4792,"-26.7117","-49.6756","920","","Parulidae","Myiothlypis","leucoblephara","","White-rimmed Warbler",33.116599,"Myiothlypis leucoblephara",14
"384",4803,"-23.5001","-45.2167","30","Hypoedaleus guttatus,Pachyramphus castaneus","Icteridae","Cacicus","haemorrhous","affinis","Red-rumped Cacique",27.678186,"Cacicus haemorrhous",20
"385",4806,"-31.766158","-52.561319","200","","Furnariidae","Sclerurus","scansor","","Rufous-breasted Leaftosser",33.053311,"Sclerurus scansor",16
"386",4814,"-19.8189","-40.2739","60","","Picidae","Melanerpes","candidus","","White Woodpecker",16.500567,"Melanerpes candidus",10
"387",4823,"-21.0334","-57.4334","125","Psittacara leucophthalmus,Pitangus sulphuratus","Psittacidae","Anodorhynchus","hyacinthinus","","Hyacinth Macaw",22.770113,"Anodorhynchus hyacinthinus",11
"388",4891,"-8.8173","-35.4773","80","Thraupis palmarum,Tangara cayana,Cyclarhis gujanensis","Pipridae","Chiroxiphia","pareola","","Blue-backed Manakin",35.525283,"Chiroxiphia pareola",14
"389",4894,"-6.1603","-50.3459","400","","Psittacidae","Anodorhynchus","hyacinthinus","","Hyacinth Macaw",37.072971,"Anodorhynchus hyacinthinus",11
"390",4898,"NULL","NULL","830","","Tyrannidae","Myiozetetes","similis","","Social Flycatcher",23.782472,"Myiozetetes similis",18
"391",4907,"-23.4334","-45.1167","23","","Conopophagidae","Conopophaga","melanops","","Black-cheeked Gnateater",38.077551,"Conopophaga melanops",15
"392",4936,"-27.258","-49.02","880","","Falconidae","Micrastur","ruficollis","","Barred Forest Falcon",25.756916,"Micrastur ruficollis",12
"393",4941,"-22.6736","-48.9592","700","","Furnariidae","Automolus","leucophthalmus","","White-eyed Foliage-gleaner",17.344036,"Automolus leucophthalmus",11
"394",4954,"NULL","NULL","420","","Pipridae","Chiroxiphia","caudata","","Blue Manakin",33.847687,"Chiroxiphia caudata",21
"395",4965,"-0.1334","-67.0834","70","","Thamnophilidae","Myrmeciza","atrothorax","atrothorax","Black-throated Antbird",29.537166,"Myrmeciza atrothorax",12
"396",4979,"-8.6114","-35.0392","0","Cyclarhis gujanensis","Troglodytidae","Troglodytes","aedon","musculus","House Wren",18.61034,"Troglodytes aedon",15
"397",4991,"-23.4673","-51.0356","600","","Psittacidae","Brotogeris","tirica","","Plain Parakeet",19.354943,"Brotogeris tirica",15
"398",5000,"-23.8312","-45.3495","190","","Pipridae","Chiroxiphia","caudata","","Blue Manakin",38.927891,"Chiroxiphia caudata",21
"399",5012,"-24.2759","-48.4181","850","Scytalopus superciliaris,Camptostoma obsoletum,Picumnus temminckii,Orthogonys chloricterus,Anabazenops fuscus,Philydor rufum","Psittacidae","Forpus","xanthopterygius","xanthopterygius","Blue-winged Parrotlet",28.089683,"Forpus xanthopterygius",11
"400",5040,"-22.4667","-43.01","1600","Cyclarhis gujanensis","Fringillidae","Chlorophonia","cyanea","cyanea","Blue-naped Chlorophonia",16.539184,"Chlorophonia cyanea",11
"401",5064,"-23.3334","-44.8834","3","Automolus leucophthalmus","Tyrannidae","Attila","rufus","rufus","Grey-hooded Attila",22.331678,"Attila rufus",14
"402",5072,"-23.4501","-51.2334","600","","Psittacidae","Brotogeris","tirica","","Plain Parakeet",29.189297,"Brotogeris tirica",15
"403",5083,"-23.5001","-45.2167","30","Vireo olivaceus,Turdus albicollis","Cardinalidae","Habia","rubica","rubica","Red-crowned Ant Tanager",32.013311,"Habia rubica",14
"404",5099,"-27.258","-49.02","650","Crypturellus tataupa","Parulidae","Basileuterus","culicivorus","","Golden-crowned Warbler",25.403288,"Basileuterus culicivorus",14
"405",5105,"-4.067","-60.6598","?","Cymbilaimus lineatus","Tyrannidae","Hemitriccus","griseipectus","","White-bellied Tody-Tyrant",40.769637,"Hemitriccus griseipectus",10
"406",5116,"-8.72667","-35.79333","700","Myrmeciza ruficauda","Thamnophilidae","Dysithamnus","mentalis","emiliae","Plain Antvireo",30.437891,"Dysithamnus mentalis",25
"407",5149,"NULL","NULL","?","","Falconidae","Milvago","chimachima","","Yellow-headed Caracara",24.006576,"Milvago chimachima",18
"408",5167,"-23.8501","-54.2537","340","Euphonia chlorotica","Icteridae","Cacicus","haemorrhous","","Red-rumped Cacique",43.728571,"Cacicus haemorrhous",20
"409",5169,"-25.0334","-47.9167","10","Thamnophilus caerulescens,Lathrotriccus euleri,Attila rufus,Chiroxiphia caudata","Troglodytidae","Cantorchilus","longirostris","longirostris","Long-billed Wren",29.16381,"Cantorchilus longirostris",10
"410",5186,"NULL","NULL","1080","","Tyrannidae","Pitangus","sulphuratus","maximiliani ?","Great Kiskadee",32.010952,"Pitangus sulphuratus",10
"411",5205,"-6.0501","-50.2667","660","Crypturellus soui,Coereba flaveola","Parulidae","Myiothlypis","flaveola","","Flavescent Warbler",29.236168,"Myiothlypis flaveola",10
"412",5216,"-22.5001","-42.7167","?","Thamnophilus palliatus","Troglodytidae","Pheugopedius","genibarbis","","Moustached Wren",26.70059,"Pheugopedius genibarbis",12
"413",5218,"-8.3","-37.75","460","Tapera naevia,Columbina minuta,Phacellodomus rufifrons,Thamnophilus torquatus,Pitangus sulphuratus,Agelaioides badius","Tyrannidae","Elaenia","spectabilis","","Large Elaenia",17.250998,"Elaenia spectabilis",14
"414",5221,"-24.017146","-47.81044","630","","Tyrannidae","Myiornis","auricularis","auricularis","Eared Pygmy Tyrant",25.97229,"Myiornis auricularis",15
"415",5265,"-9.3001","-35.9334","550","Poecilotriccus fumifrons,Capsiempis flaveola,Pitangus sulphuratus,Pheugopedius genibarbis,Sporophila leucoptera","Thamnophilidae","Formicivora","grisea","grisea","Southern White-fringed Antwren",27.66415,"Formicivora grisea",10
"416",5267,"NULL","NULL","0","","Furnariidae","Automolus","leucophthalmus","","White-eyed Foliage-gleaner",23.19737,"Automolus leucophthalmus",11
"417",5288,"NULL","NULL","400","","Ramphastidae","Ramphastos","vitellinus","pintoi","Channel-billed Toucan",20.381814,"Ramphastos vitellinus",12
"418",5291,"-22.5001","-42.7167","?","","Tyrannidae","Myiozetetes","similis","","Social Flycatcher",21.154762,"Myiozetetes similis",18
"419",5296,"-21.776","-43.371","880","","Tyrannidae","Myiodynastes","maculatus","","Streaked Flycatcher",32.340204,"Myiodynastes maculatus",14
"420",5299,"-3.4834","-54.9167","150","","Tyrannidae","Platyrinchus","platyrhynchos","","White-crested Spadebill",21.187664,"Platyrinchus platyrhynchos",10
"421",5305,"-7.3834","-39.3501","?","Thamnophilus pelzelni","Tyrannidae","Myiozetetes","similis","","Social Flycatcher",30.743129,"Myiozetetes similis",18
"422",5329,"-6.1603","-50.3459","200","Saltator grossus,Myrmotherula axillaris,Hylophilus hypoxanthus,Thamnomanes caesius","Turdidae","Turdus","albicollis","","White-necked Thrush",30.473515,"Turdus albicollis",10
"423",5349,"-23.4501","-51.2334","600","","Pipridae","Chiroxiphia","caudata","","Blue Manakin",28.434535,"Chiroxiphia caudata",21
"424",5354,"-29.454","-50.58","?","","Threskiornithidae","Theristicus","caudatus","","Buff-necked Ibis",20.22966,"Theristicus caudatus",17
"425",5359,"-20.123894","-44.219091","742","","Tyrannidae","Cnemotriccus","fuscatus","","Fuscous Flycatcher",33.532993,"Cnemotriccus fuscatus",10
"426",5363,"-26.0834","-48.6334","10","Crypturellus noctivagus,Chiroxiphia caudata,Schiffornis virescens,Hylophilus poicilotis,Saltator similis","Furnariidae","Automolus","leucophthalmus","sulphurascens","White-eyed Foliage-gleaner",32.80678,"Automolus leucophthalmus",11
"427",5379,"-31.7184","-52.3276","0","","Accipitridae","Rupornis","magnirostris","","Roadside Hawk",32.368889,"Rupornis magnirostris",27
"428",5396,"NULL","NULL","?","Anas sibilatrix","Threskiornithidae","Theristicus","caudatus","caudatus","Buff-necked Ibis",35.297528,"Theristicus caudatus",17
"429",5412,"NULL","NULL","420","","Furnariidae","Sittasomus","griseicapillus","","Olivaceous Woodcreeper",31.960884,"Sittasomus griseicapillus",11
"430",5414,"-22.624","-46.498","800","Coereba flaveola,Camptostoma obsoletum,Nemosia pileata,Todirostrum poliocephalum","Tyrannidae","Myiozetetes","similis","","Social Flycatcher",42.739025,"Myiozetetes similis",18
"431",5418,"-22.5001","-42.7167","?","Thamnophilus palliatus,Cacicus haemorrhous,Pitangus sulphuratus","Troglodytidae","Cantorchilus","longirostris","","Long-billed Wren",33.590113,"Cantorchilus longirostris",10
"432",5421,"-27.234","-52.588","500","","Falconidae","Milvago","chimachima","","Yellow-headed Caracara",20.158163,"Milvago chimachima",18
"433",5425,"-9.5981","-55.932","250","","Furnariidae","Xiphorhynchus","guttatus","eytoni","Buff-throated Woodcreeper",24.725261,"Xiphorhynchus guttatus",11
"434",5434,"-9.9826","-50.0151","180","","Threskiornithidae","Theristicus","caudatus","","Buff-necked Ibis",35.309841,"Theristicus caudatus",17
"435",5438,"-6.0501","-50.2667","660","Crypturellus strigulosus","Thamnophilidae","Thamnomanes","caesius","hoffmannsi","Cinereous Antshrike",44.722925,"Thamnomanes caesius",12
"436",5442,"NULL","NULL","?","","Tyrannidae","Hirundinea","ferruginea","bellicosa","Cliff Flycatcher",17.800136,"Hirundinea ferruginea",12
"437",5464,"-26.0834","-48.6334","10","Synallaxis spixi,Procnias nudicollis","Cuculidae","Guira","guira","","Guira Cuckoo",40.996871,"Guira guira",10
"438",5473,"2.4334","-60.9167","90","","Psittacidae","Orthopsittaca","manilatus","","Red-bellied Macaw",29.407438,"Orthopsittaca manilatus",13
"439",5475,"-31.78333","-52.22","0","","Falconidae","Milvago","chimachima","","Yellow-headed Caracara",15.618753,"Milvago chimachima",18
"440",5490,"-16.362","-56.648","115","Cantorchilus leucotis,Herpsilochmus longirostris,Tolmomyias sulphurescens,Myiothlypis flaveola,Hylophilus pectoralis","Parulidae","Basileuterus","culicivorus","hypoleucus","Golden-crowned Warbler",25.829478,"Basileuterus culicivorus",14
"441",5494,"-22.9567","-43.2806","600","","Furnariidae","Sittasomus","griseicapillus","","Olivaceous Woodcreeper",26.724943,"Sittasomus griseicapillus",11
"442",5509,"-24.2667","-48.4167","?","","Polioptilidae","Ramphocaenus","melanurus","melanurus","Long-billed Gnatwren",28.765079,"Ramphocaenus melanurus",10
"443",5514,"-3.907","-58.4017","100","Ramphastos vitellinus,Campephilus rubricollis,Ramphastos tucanus","Furnariidae","Glyphorynchus","spirurus","","Wedge-billed Woodcreeper",38.236463,"Glyphorynchus spirurus",10
"444",5541,"-19.1456","-40.0645","40","Columbina talpacoti,Eupsittula aurea,Brotogeris tirica","Tyrannidae","Camptostoma","obsoletum","cinerascens","Southern Beardless Tyrannulet",23.618186,"Camptostoma obsoletum",18
"445",5556,"-22.5001","-42.7167","?","Cacicus haemorrhous,Ramphastos vitellinus","Psittacidae","Brotogeris","tirica","","Plain Parakeet",32.42805,"Brotogeris tirica",15
"446",5574,"-8.6114","-35.0392","0","","Turdidae","Turdus","leucomelas","","Pale-breasted Thrush",20.690884,"Turdus leucomelas",18
"447",5591,"-12.5834","-41.3667","400","Troglodytes aedon","Tyrannidae","Myiopagis","caniceps","caniceps","Grey Elaenia",26.732789,"Myiopagis caniceps",11
"448",5595,"-12.5834","-41.3667","400","Thamnophilus pelzelni,Sittasomus griseicapillus,Cacicus haemorrhous","Thamnophilidae","Pyriglena","leucoptera","","White-shouldered Fire-eye",23.177052,"Pyriglena leucoptera",12
"449",5604,"-26.27864","-49.512634","792","","Furnariidae","Campylorhamphus","falcularius","","Black-billed Scythebill",36.423651,"Campylorhamphus falcularius",10
"450",5606,"-10.2095","-48.252","500","","Tyrannidae","Pitangus","sulphuratus","","Great Kiskadee",31.022789,"Pitangus sulphuratus",10
"451",5623,"-16.7501","-56.8501","?","","Tyrannidae","Hemitriccus","margaritaceiventer","","Pearly-vented Tody-Tyrant",41.63449,"Hemitriccus margaritaceiventer",11
"452",5640,"-23.2001","-46.5834","800","Camptostoma obsoletum,Tersina viridis","Tyrannidae","Myiodynastes","maculatus","","Streaked Flycatcher",27.114331,"Myiodynastes maculatus",14
