"","X","MediaId","FileName","ClassId","Date","Time","Locality","Latitude","Longitude","Elevation","Author","AuthorID","Content","Comments","Quality","Year","BackgroundSpecies","Order","Family","Genus","Species","Sub.species","VernacularNames","Length","GenusSpecies","fileCount"
"157",2103,12795,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN12795.wav","scjydk","1993-11-18","?","Pousada o Pantaneiro, Transpantaneira Hwy., Mato Grosso","-16.9398","-56.8834","110","Allen T. Chartier","AZXTZTQJRO","calls, perched","Generator noise in background.","2","BirdCLEF2014","Pitangus sulphuratus","Psittaciformes","Psittacidae","Anodorhynchus","hyacinthinus","","Hyacinth Macaw",29.206213,"Anodorhynchus hyacinthinus",11
"158",2107,12799,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN12799.wav","mkqlxe","2001-10-24","09:08","Caraguatatuba, São Paulo state. 'Hípica as Gaivotas'","-23.5667","-45.3167","10","Jeremy Minns","DGVLLRYDXS","call","Coastal white sand forest. Single bird on an emergent.","2","BirdCLEF2014","","Passeriformes","Tyrannidae","Myiozetetes","similis","pallidiventris","Social Flycatcher",20.499524,"Myiozetetes similis",18
"159",2113,12807,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN12807.wav","ssdpyu","2006-08-06","06:55","Serra da Passira, Passira, Pernambuco","-7.963528","-35.673294","390","Glauco Alves Pereira","ZWEROGGYVP","harsh call","","2","BirdCLEF2014","","Passeriformes","Troglodytidae","Cantorchilus","longirostris","","Long-billed Wren",35.503243,"Cantorchilus longirostris",10
"160",2121,12815,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN12815.wav","vjavkh","2000-05-31","16:40","Boraceia Biological Station, SP state","-23.6334","-45.8667","825","Jeremy Minns","DGVLLRYDXS","call","Montane forest edge. This is Call A in our DVD-ROM 'Birds of Brazil'.","1","BirdCLEF2014","Conopophaga lineata","Passeriformes","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",29.534263,"Rhopias gularis",14
"161",2126,12821,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN12821.wav","vqsusq","2010-10-22","15:30","Pousada Paraiso -Taquaril - Petrópolis - RJ","-22.3023","-43.077","1400","Bernardo Lacombe","RXFTJGTCHD","call","Jequitiba Trail - Pousada Paraiso - Perópolis _RJ - Brazilbird-seen:yesplayback-used:no","2","BirdCLEF2014","Saltator similis","Passeriformes","Furnariidae","Campylorhamphus","falcularius","","Black-billed Scythebill",40.382177,"Campylorhamphus falcularius",10
"162",2137,12838,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN12838.wav","cmcyuw","2011-10-08","08:33","Cristalino Jungle Lodge, MT","-9.5981","-55.932","260","Eric DeFonso","KTLCZCRCQX","call","Likely same bird as in XC130322. Familiar two-note call plus some scold-like chatter. Close but obscured bird, vocalizing naturally off the trail in heavy brush at the Ilha research station and dormitory, near the Cristalino/Teles Pires river junction. Some line static.bird-seen:noplayback-used:no","1","BirdCLEF2014","","Passeriformes","Troglodytidae","Cantorchilus","leucotis","","Buff-breasted Wren",26.247528,"Cantorchilus leucotis",17
"163",2185,12898,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN12898.wav","pzlgrh","2004-04-07","09:09","Intervales State Park. Carmo road","-24.2834","-48.4334","800","Jeremy Minns","DGVLLRYDXS","calls while feeding","Humid forest. Sounds of four birds feeding in a cecropia.","2","BirdCLEF2014","Picumnus temminckii,Sporophila frontalis","Psittaciformes","Psittacidae","Brotogeris","tirica","","Plain Parakeet",23.452834,"Brotogeris tirica",15
"164",2197,12910,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN12910.wav","vqsusq","2011-06-22","09:30","Sao Jose dos Campos, state of Sao Paulo","-23.0401","-46.0328","700","GABRIEL LEITE","TGBFXDVERJ","call","bird-seen:yesplayback-used:yes","2","BirdCLEF2014","Synallaxis ruficapilla","Passeriformes","Furnariidae","Campylorhamphus","falcularius","","Black-billed Scythebill",15.07322,"Campylorhamphus falcularius",10
"165",2232,12957,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN12957.wav","arlrfh","2006-01-29","10:00","Careiro da Varzea, AM","-3.2231","-59.8664","20","Nick Athanas","XRABICUARW","call","Several different calls from a few birds by the side of the road. img:http://www.antpitta.com/images/photos/cuckoos/Greater-Ani-llanos.jpg","3","BirdCLEF2014","","Cuculiformes","Cuculidae","Crotophaga","major","","Greater Ani",35.801814,"Crotophaga major",10
"166",2237,12962,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN12962.wav","ziirhl","2006-10-29","06:30","Reserva Linhares, Espirito Santo","-19.138","-40.047","100","Daniel Lane","WOEAFQRMUD","call","Natural calls from several near large colony (20-30 individuals). At edge of clearing around fire tower.","2","BirdCLEF2014","Vireo olivaceus,Crypturellus soui,Setophaga pitiayumi,Celeus torquatus","Passeriformes","Icteridae","Cacicus","haemorrhous","","Red-rumped Cacique",42.925102,"Cacicus haemorrhous",20
"167",2243,12969,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN12969.wav","pazlce","2005-10-26","06:10","Serra dos Carajás. Águas Claras","-6.1657","-50.3445","390","Jeremy Minns","DGVLLRYDXS","call","Terra firme forest.","2","BirdCLEF2014","Ramphocaenus melanurus","Passeriformes","Tyrannidae","Lophotriccus","galeatus","","Helmeted Pygmy Tyrant",22.71585,"Lophotriccus galeatus",11
"168",2258,12986,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN12986.wav","oxhigs","2011-07-08","10:30","Alto Alegre do Pindaré, Maranhao","-3.6668","-45.8465","20","GABRIEL LEITE","TGBFXDVERJ","call, female, male","bird-seen:yesplayback-used:no","2","BirdCLEF2014","","Cuculiformes","Cuculidae","Crotophaga","ani","","Smooth-billed Ani",17.613764,"Crotophaga ani",14
"169",2270,1299,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN1299.wav","ewisum","2006-05-07","07:05","Parque do Zizo, Sao Paulo state","-24.017146","-47.81044","650","Jeremy Minns","DGVLLRYDXS","atypical calls","Edge of humid forest. Normal calls by a second bird at the end.","1","BirdCLEF2014","","Passeriformes","Parulidae","Basileuterus","culicivorus","auricapilla","Golden-crowned Warbler",30.976463,"Basileuterus culicivorus",14
"170",2278,13008,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13008.wav","gncrmz","1993-07-08","?","Boraceia Biological Station, SP state","-23.6334","-45.8667","?","Don Jones","BCWZQTGMSO","call","Call","1","BirdCLEF2014","","Passeriformes","Thamnophilidae","Pyriglena","leucoptera","","White-shouldered Fire-eye",15.453673,"Pyriglena leucoptera",12
"171",2314,13052,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13052.wav","fxwyhh","2006-01-22","06:45","Serra dos Carajás, PA","-6.1603","-50.3459","380","Nick Athanas","XRABICUARW","call","","2","BirdCLEF2014","Hypocnemis striata,Ibycter americanus,Myrmoborus myotherinus,Formicarius analis","Passeriformes","Tyrannidae","Platyrinchus","platyrhynchos","amazonicus","White-crested Spadebill",17.126621,"Platyrinchus platyrhynchos",10
"172",2328,13075,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13075.wav","jeufbl","2011-12-16","09:12","Eldorado, Mato Grosso do Sul state","-23.8501","-54.2537","340","Joao Menezes","BEYMZHZHIB","call, song","","2","BirdCLEF2014","Myiodynastes maculatus","Passeriformes","Tyrannidae","Elaenia","spectabilis","","Large Elaenia",39.818821,"Elaenia spectabilis",14
"173",2336,13087,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13087.wav","bogxos","2002-02-12","08:31","Pirapora, MG","-17.3584","-44.8501","540","Jeremy Minns","DGVLLRYDXS","call, song a","Córrego dos Ovos. Gallery forest in caatinga. Various different natural vocalizations by a single bird on top of large tree.","2","BirdCLEF2014","Columbina squammata","Passeriformes","Tyrannidae","Megarynchus","pitangua","pitangua","Boat-billed Flycatcher",38.896916,"Megarynchus pitangua",11
"174",2375,13130,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13130.wav","ltmvlu","2003-04-05","17:46","Cristalino Jungle Lodge, MT","-9.5981","-55.932","250","Jeremy Minns","DGVLLRYDXS","long call","Terra firme forest.","1","BirdCLEF2014","Odontophorus gujanensis,Crypturellus variegatus","Passeriformes","Furnariidae","Xiphorhynchus","guttatus","eytoni","Buff-throated Woodcreeper",18.396304,"Xiphorhynchus guttatus",11
"175",2379,13134,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13134.wav","relbkx","2006-09-30","11:00","Caraça Park, Minais Gereis","NULL","NULL","?","Frank Lambert","YTUXOCTUEM","call","I only heard one-note calls of this sp at this site","1","BirdCLEF2014","","Passeriformes","Tyrannidae","Tolmomyias","sulphurescens","","Yellow-olive Flatbill",24.636485,"Tolmomyias sulphurescens",14
"176",2391,13150,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13150.wav","gncrmz","2004-02-03","?:?","Bahia, Fazenda (Aruana), near Una","-15.2","-39.3","?","Frank Lambert","YTUXOCTUEM","call","Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/8034>AV8034</a>.  Certainty: 100%.  ID determined by: seen. GPS: estimate from Google Earth.","2","BirdCLEF2014","","Passeriformes","Thamnophilidae","Pyriglena","leucoptera","","White-shouldered Fire-eye",31.658027,"Pyriglena leucoptera",12
"177",2411,13171,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13171.wav","aiigbg","2010-01-15","?","Salseiro, Vidal Ramos, Santa Catarina","-27.39726","-49.379082","400","Evair Legal","SMJXFKLATM","call","","2","BirdCLEF2014","Dysithamnus mentalis","Passeriformes","Furnariidae","Sittasomus","griseicapillus","","Olivaceous Woodcreeper",18.040385,"Sittasomus griseicapillus",11
"178",2417,13178,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13178.wav","rlqpij","2006-11-08","08:30","near Arroio Santa Bárbara - Pelotas, Rio Grande do Sul","-31.7184","-52.3276","0","Fernando Jacobs","MHHPJBCUXC","call","","2","BirdCLEF2014","Columbina picui","Passeriformes","Tyrannidae","Myiodynastes","maculatus","","Streaked Flycatcher",21.357846,"Myiodynastes maculatus",14
"179",2456,13228,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13228.wav","qfjwpy","2011-08-11","11:10","Cristalino Jungle Lodge, MT","-9.5981","-55.932","200","Tayler Brooks","ARFGONJCBJ","call","Natural vocalization. Flying along Rio Teles Pires.","1","BirdCLEF2014","","Charadriiformes","Charadriidae","Vanellus","chilensis","","Southern Lapwing",26.558345,"Vanellus chilensis",19
"180",2464,13237,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13237.wav","qwxjxm","2003-08-25","07:30","Ubatuba, SP. Folha Seca.","-23.5001","-45.2167","30","Jeremy Minns","DGVLLRYDXS","call","Humid forest, near a stream. This is Call E in our DVD-ROM 'Birds of Brazil'.","1","BirdCLEF2014","Ramphodon naevius,Trogon surrucura,Hypoedaleus guttatus,Chiroxiphia caudata","Passeriformes","Tyrannidae","Cnemotriccus","fuscatus","fuscatus","Fuscous Flycatcher",22.031542,"Cnemotriccus fuscatus",10
"181",2467,1323,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN1323.wav","aiigbg","2008-10-27","10:47","Passo do Ricardo, Rio Piratini - Pedro Osório, Rio Grande do Sul","-31.9006","-52.6626","0","Fernando Jacobs","MHHPJBCUXC","call, song","","1","BirdCLEF2014","","Passeriformes","Furnariidae","Sittasomus","griseicapillus","","Olivaceous Woodcreeper",29.994218,"Sittasomus griseicapillus",11
"182",2483,13260,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13260.wav","asvgnp","2005-04-22","10:55","Engenho Jussará, Gravatá, Pernambuco","-8.2834","-35.5834","700","Glauco Alves Pereira","ZWEROGGYVP","call","","4","BirdCLEF2014","Volatinia jacarina,Synallaxis frontalis","Falconiformes","Falconidae","Milvago","chimachima","","Yellow-headed Caracara",16.942154,"Milvago chimachima",18
"183",2496,13277,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13277.wav","nknnjw","2001-03-17","06:42","Itatiaia National Park - Agulhas Negras road","-22.3667","-44.7334","1800","Jeremy Minns","DGVLLRYDXS","call, song","High altitude montane forest.","2","BirdCLEF2014","Lathrotriccus euleri,Chiroxiphia caudata,Saltator similis,Basileuterus culicivorus","Passeriformes","Parulidae","Myiothlypis","leucoblephara","","White-rimmed Warbler",36.353333,"Myiothlypis leucoblephara",14
"184",2502,13283,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13283.wav","yudfzp","2009-11-06","15:30","Estação de Pesquisa do Canguçu - Pium - Tocantins State","-9.9826","-50.0151","180","GABRIEL LEITE","TGBFXDVERJ","call, female, male","bird-seen:yesplayback-used:no","3","BirdCLEF2014","Rupornis magnirostris","Passeriformes","Troglodytidae","Pheugopedius","genibarbis","","Moustached Wren",32.049501,"Pheugopedius genibarbis",12
"185",2508,13297,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13297.wav","ewisum","2011-06-19","08:30","São Francisco Xavier, São José dos Campos,São Paulo state, Brazil","-22.898","-45.994","1300","GABRIEL LEITE","TGBFXDVERJ","call","bird-seen:yesplayback-used:no","3","BirdCLEF2014","","Passeriformes","Parulidae","Basileuterus","culicivorus","","Golden-crowned Warbler",20.789138,"Basileuterus culicivorus",14
"186",2509,13299,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13299.wav","yudfzp","2012-10-07","16:30","Ribeiro Gonçalves, state of Piauí","-7.5834","-45.1167","400","Eduardo D. Schultz","QYOZQITVAC","call, song","bird-seen:yesplayback-used:yes","0","BirdCLEF2014","","Passeriformes","Troglodytidae","Pheugopedius","genibarbis","","Moustached Wren",26.621134,"Pheugopedius genibarbis",12
"187",2517,13306,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13306.wav","fxwyhh","2010-07-23","08:00","Presidente Figueiredo, Amazonas","-2.028","-59.997","50","Marcos Melo","MRGDYNJGUJ","call","","3","BirdCLEF2014","Patagioenas plumbea","Passeriformes","Tyrannidae","Platyrinchus","platyrhynchos","","White-crested Spadebill",16.520862,"Platyrinchus platyrhynchos",10
"188",2518,13307,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13307.wav","exwfyy","2009-10-18","07:00","Cristalino Jungle Lodge, MT","-9.5981","-55.932","250","Andrew Spencer","CDTGHVBGZP","call","","1","BirdCLEF2014","","Passeriformes","Thamnophilidae","Myrmeciza","atrothorax","","Black-throated Antbird",37.860363,"Myrmeciza atrothorax",12
"189",2529,13321,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13321.wav","jefgxc","2009-04-05","07:30","Parque Natural Municipal de Nova Iguaçu","-22.7787","-43.462","200","Ricardo Gagliardi","YRDADNREOP","call","","1","BirdCLEF2014","Dysithamnus stictothorax,Tachyphonus cristatus","Piciformes","Galbulidae","Galbula","ruficauda","","Rufous-tailed Jacamar",42.388163,"Galbula ruficauda",11
"190",2532,13324,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13324.wav","rcvrfz","2009-09-23","16:30","Cristalino Jungle Lodge, MT","-9.5981","-55.932","250","Andrew Spencer","CDTGHVBGZP","call","","1","BirdCLEF2014","","Passeriformes","Fringillidae","Euphonia","chlorotica","amazonica","Purple-throated Euphonia",21.800476,"Euphonia chlorotica",13
"191",2553,13356,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13356.wav","lksjxc","2012-04-10","08:30","Parauapebas, Para","-6.0859","-50.3394","650","GABRIEL LEITE","TGBFXDVERJ","call, song","bird-seen:noplayback-used:no","4","BirdCLEF2014","Isleria hauxwelli","Passeriformes","Tyrannidae","Myiopagis","caniceps","","Grey Elaenia",32.289025,"Myiopagis caniceps",11
"192",2560,13365,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13365.wav","bmiqmk","2005-04-16","07:50","Reserva Ecológica de Guapiaçu, RJ","-22.5001","-42.7167","260","Nick Athanas","XRABICUARW","call","Male, responding to playback of Russet-winged Spadebill.","1","BirdCLEF2014","","Passeriformes","Pipridae","Chiroxiphia","caudata","","Blue Manakin",21.294558,"Chiroxiphia caudata",21
"193",2561,13366,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13366.wav","uuvfxv","2004-10-16","15:00","Engenho Aparauá, Goiana, Pernambuco","-7.565","-35.005","60","Glauco Alves Pereira","ZWEROGGYVP","call, song","Observed in humid forest","1","BirdCLEF2014","","Passeriformes","Parulidae","Myiothlypis","flaveola","","Flavescent Warbler",17.84093,"Myiothlypis flaveola",10
"194",2562,13369,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13369.wav","armfvy","1997-08-20","07:05","Intervales State Park. Residential area","-24.2667","-48.4167","830","Jeremy Minns","DGVLLRYDXS","call, song","Secondary forest. Sounds of three birds chasing each other about the canopy. These are calls A, B and C in our DVD-ROM 'Birds of Brazil'.","2","BirdCLEF2014","Trogon surrucura","Passeriformes","Tyrannidae","Camptostoma","obsoletum","obsoletum","Southern Beardless Tyrannulet",23.335238,"Camptostoma obsoletum",18
"195",2572,1337,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN1337.wav","hwqenp","2001-03-16","06:01","Tiradentes, MG","-21.1167","-44.1501","900","Jeremy Minns","DGVLLRYDXS","call","Trail up Serra de São José. Secondary growth. This is 'Call D' on our DVD-ROM Birds of Brazil.","1","BirdCLEF2014","Lochmias nematura,Myiothlypis leucoblephara","Passeriformes","Thamnophilidae","Dysithamnus","mentalis","mentalis","Plain Antvireo",30.1822,"Dysithamnus mentalis",25
"196",2578,13389,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13389.wav","fxwyhh","1999-09-22","09:30","Reserva Extrativista Alto Juruá. Lago Ceará","-9.2473","-72.6959","220","Jeremy Minns","DGVLLRYDXS","call","ssp. presumed from location. Terra firme forest. bird-seen:noplayback-used:no","1","BirdCLEF2014","","Passeriformes","Tyrannidae","Platyrinchus","platyrhynchos","senex","White-crested Spadebill",32.45619,"Platyrinchus platyrhynchos",10
"197",2584,13396,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13396.wav","myvkag","2010-12-07","06:10","Bacia 260, Santarem PA","-3.0128","-54.8828","?","Alexander Lees","INDDBZAFJL","call","primary forest (logged and burnt)","0","BirdCLEF2014","","Falconiformes","Falconidae","Ibycter","americanus","","Red-throated Caracara",20.953084,"Ibycter americanus",14
"198",2588,133,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN133.wav","thrclx","2001-11-11","07:23","Estação Ecológica de Murici, Alagoas","-9.3001","-35.9334","550","Jeremy Minns","DGVLLRYDXS","call","Humid forest. Pair. This is Call A in our DVD-ROM 'Birds of Brazil'.","1","BirdCLEF2014","Tolmomyias flaviventris,Elaenia flavogaster","Passeriformes","Thamnophilidae","Formicivora","grisea","grisea","Southern White-fringed Antwren",21.587574,"Formicivora grisea",10
"199",2590,13401,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13401.wav","hdtboj","2003-07-16","14:25","Serra da Capivara National Park, state of Piauí","-8.863","-42.627","450","Jeremy Minns","DGVLLRYDXS","call","Baixo do Perna. Semi-deciduous forest in narrow valley formed by rocky cliffs. Calls by two birds on landing after sallying to hawk for insects.","2","BirdCLEF2014","Myiarchus tyrannulus","Passeriformes","Tyrannidae","Hirundinea","ferruginea","bellicosa","Cliff Flycatcher",15.653583,"Hirundinea ferruginea",12
"200",2591,13403,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13403.wav","qgrzoy","2011-09-26","09:36","Cristalino Jungle Lodge, MT","-9.5981","-55.932","260","Eric DeFonso","KTLCZCRCQX","call","A few assorted chips from some very close birds in the understory, along the Saliero trail in terra firme forest.bird-seen:yesplayback-used:no","1","BirdCLEF2014","","Passeriformes","Tyrannidae","Hemitriccus","griseipectus","","White-bellied Tody-Tyrant",23.495556,"Hemitriccus griseipectus",10
"201",2592,13404,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13404.wav","yyjrms","2002-04-04","07:24","Road to Pedra do Baú, Campos do Jordão, SP","-22.7167","-45.6001","1400","Jeremy Minns","DGVLLRYDXS","call","Montane forest.","2","BirdCLEF2014","","Passeriformes","Emberizidae","Zonotrichia","capensis","subtorquata","Rufous-collared Sparrow",20.348186,"Zonotrichia capensis",11
"202",2593,13405,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13405.wav","qpxgvo","2012-10-04","16:20","Pousada Penhasco, Chapada dos Guimarães, Mato Grosso","-15.4776","-55.7585","800","Andrew Spencer","CDTGHVBGZP","call, song","song and calls from a bird perched mid-way up tall but dry forest, in response to playback.bird-seen:yesplayback-used:yes","1","BirdCLEF2014","","Passeriformes","Tyrannidae","Hemitriccus","margaritaceiventer","margaritaceiventer","Pearly-vented Tody-Tyrant",42.582063,"Hemitriccus margaritaceiventer",11
"203",2607,13422,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13422.wav","uphahj","2003-07-06","9:00","Praia do Gamela, Sirinhaém, Pernambuco","-8.6114","-35.0392","0","Mauricio Cabral Periquito","HERKCTHDZI","call","","4","BirdCLEF2014","","Accipitriformes","Accipitridae","Rupornis","magnirostris","","Roadside Hawk",38.565828,"Rupornis magnirostris",27
"204",2621,1343,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN1343.wav","uytsig","2008-07-05","9:30","Mata Azul district between Palmeirópolis and São Salvador do Tocanti","NULL","NULL","400","Guilherme R R Brito","OAYOBWYOOM","call","espontaneous vocalization","0","BirdCLEF2014","Brotogeris chiriri,Diopsittaca nobilis","Passeriformes","Turdidae","Turdus","leucomelas","","Pale-breasted Thrush",33.8822,"Turdus leucomelas",18
"205",2645,1346,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN1346.wav","oublby","2011-02-22","18:20","10 km S Pocone on Transpantaneira, Mato Grosso","-16.362","-56.648","115","Daniel Lane","WOEAFQRMUD","call","Natural flight calls of bird going overhead.","2","BirdCLEF2014","Zebrilus undulatus,Butorides striata","Coraciiformes","Alcedinidae","Megaceryle","torquata","","Ringed Kingfisher",20.07483,"Megaceryle torquata",10
"206",2676,13505,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13505.wav","cmcyuw","2009-12-26","18:50","Turmalina, SP","-20.052","-50.455","?","Ricardo Gagliardi","YRDADNREOP","call","","1","BirdCLEF2014","","Passeriformes","Troglodytidae","Cantorchilus","leucotis","","Buff-breasted Wren",39.106893,"Cantorchilus leucotis",17
"207",2695,13532,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13532.wav","ziirhl","2009-09-29","?","Rio Tigre, Guatambu, Santa Catarina","-27.14","-52.7837","285","Adrian Eisen Rupp","AOPMSCIDIA","call","","0","BirdCLEF2014","","Passeriformes","Icteridae","Cacicus","haemorrhous","","Red-rumped Cacique",20.961565,"Cacicus haemorrhous",20
"208",2704,13546,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13546.wav","ziirhl","2005-11-22","11:30","Parque do Zizo, Sao Paulo State","-24.017146","-47.81044","630","Bob Planqué","OH38YHKJBS","call, song","singing at colony above pond","2","BirdCLEF2014","Schiffornis virescens","Passeriformes","Icteridae","Cacicus","haemorrhous","","Red-rumped Cacique",19.566735,"Cacicus haemorrhous",20
"209",2733,13580,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13580.wav","vqsusq","2013-02-17","07:00","Sao Jose dos Campos, state of Sao Paulo","-23.0401","-46.0328","700","GABRIEL LEITE","TGBFXDVERJ","call","bird-seen:yesplayback-used:no","3","BirdCLEF2014","","Passeriformes","Furnariidae","Campylorhamphus","falcularius","","Black-billed Scythebill",35.989569,"Campylorhamphus falcularius",10
"210",2752,13604,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13604.wav","wpfguq","2006-09-28","10:20","Taquaril - Petrópolis - RJ","-22.3023","-43.077","1100","Ricardo Gagliardi","YRDADNREOP","call","Pousada Paraíso area","2","BirdCLEF2014","","Passeriformes","Conopophagidae","Conopophaga","lineata","","Rufous Gnateater",20.27712,"Conopophaga lineata",17
"211",2772,13624,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13624.wav","qfjwpy","2008-02-02","18:15","Birigui, Sao Paulo state","-21.2451","-50.3734","390","Joao Menezes","BEYMZHZHIB","call","","0","BirdCLEF2014","Patagioenas picazuro,Brotogeris chiriri","Charadriiformes","Charadriidae","Vanellus","chilensis","","Southern Lapwing",29.706168,"Vanellus chilensis",19
"212",2776,1362,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN1362.wav","vjukoo","2009-05-03","07:10","APA Capivari Monos, São Paulo, SP","-23.9556","-46.6503","780","Marcos Melo","MRGDYNJGUJ","alarm call","","2","BirdCLEF2014","","Passeriformes","Tyrannidae","Attila","rufus","","Grey-hooded Attila",17.911723,"Attila rufus",14
"213",2779,13634,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13634.wav","bmiqmk","1993-08-05","?","Boraceia Biological Station, SP state","-23.6334","-45.8667","?","Don Jones","BCWZQTGMSO","call","Calls of two types. Scores are for rich downward notes.","1","BirdCLEF2014","","Passeriformes","Pipridae","Chiroxiphia","caudata","","Blue Manakin",26.733379,"Chiroxiphia caudata",21
"214",2781,13636,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13636.wav","rcvrfz","2004-07-09","?","Parnamirim_West of Pernambuco State","-8.0392","-39.7056","?","Ciro Albano","MXVQPUKGWW","call","","5","BirdCLEF2014","","Passeriformes","Fringillidae","Euphonia","chlorotica","","Purple-throated Euphonia",21.561701,"Euphonia chlorotica",13
"215",2785,13642,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13642.wav","bogxos","2004-11-02","?","Barbalha, Chapado do Araripe, south of Ceará State.","-7.3834","-39.3501","?","Ciro Albano","MXVQPUKGWW","call","","0","BirdCLEF2014","Camptostoma obsoletum,Euphonia chlorotica","Passeriformes","Tyrannidae","Megarynchus","pitangua","","Boat-billed Flycatcher",29.252925,"Megarynchus pitangua",11
"216",2849,13729,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13729.wav","aiiwiu","2012-10-04","10:45","Vale da Benção, Chapada dos Guimarães, Mato Grosso","-15.4356","-55.7917","700","Andrew Spencer","CDTGHVBGZP","call","natural vocalization, calls from a small flock flying overhead, through tall gallery forest.bird-seen:yesplayback-used:no","1","BirdCLEF2014","","Psittaciformes","Psittacidae","Psittacara","leucophthalmus","leucophthalmus","White-eyed Parakeet",24.348209,"Psittacara leucophthalmus",12
"217",2859,13741,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13741.wav","jeufbl","2006-08-27","8:48","Parque Nacional do Catimbau, Buíque, state of Pernambuco","-8.585095","-37.20932","800","Mauricio Cabral Periquito","HERKCTHDZI","call","","0","BirdCLEF2014","","Passeriformes","Tyrannidae","Elaenia","spectabilis","","Large Elaenia",17.495215,"Elaenia spectabilis",14
"218",2874,13761,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13761.wav","cvyifz","2007-06-06","09:17","Reserva Ecológica de Guapiassu, RJ","NULL","NULL","250","Leonardo Pimentel","JHBOHGJALL","call","","0","BirdCLEF2014","Tangara seledon","Passeriformes","Cardinalidae","Habia","rubica","","Red-crowned Ant Tanager",34.727868,"Habia rubica",14
"219",2889,13782,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN13782.wav","xyvbwf","2004-08-11","17:04","Borba, Amazonas","-4.3881","-59.5934","30","Jeremy Minns","DGVLLRYDXS","call","Terra firme forest. Natural calls by female. Same call by males in background.","1","BirdCLEF2014","","Passeriformes","Thamnophilidae","Microrhopias","quixensis","bicolor","Dot-winged Antwren",24.322948,"Microrhopias quixensis",11
